shard,num_samples
shard_00000.pt,256
shard_00001.pt,256
shard_00002.pt,256
shard_00003.pt,256
shard_00004.pt,256
shard_00005.pt,256
shard_00006.pt,256
shard_00007.pt,256
shard_00008.pt,256
shard_00009.pt,256
shard_00010.pt,256
shard_00011.pt,256
shard_00012.pt,256
shard_00013.pt,256
shard_00014.pt,256
shard_00015.pt,256
shard_00016.pt,256
shard_00017.pt,256
shard_00018.pt,256
shard_00019.pt,256
shard_00020.pt,256
shard_00021.pt,256
shard_00022.pt,256
shard_00023.pt,256
shard_00024.pt,256
shard_00025.pt,256
shard_00026.pt,256
shard_00027.pt,256
shard_00028.pt,256
shard_00029.pt,256
shard_00030.pt,256
shard_00031.pt,256
shard_00032.pt,256
shard_00033.pt,256
shard_00034.pt,256
shard_00035.pt,256
shard_00036.pt,256
shard_00037.pt,256
shard_00038.pt,256
shard_00039.pt,256
shard_00040.pt,256
shard_00041.pt,84
