image_id,Height,Diameter,LeafArea,FreshWeightShoot,Variety,DryWeightShoot
15,5.1,16.1,87.6,3.2,Aphylion,0.16
16,9.6,18.2,102.4,3.8,Aphylion,0.16
18,6.2,17.6,84.5,3.1,Aphylion,0.14
19,5.4,15.5,82.7,3.0,Aphylion,0.13
44,5.3,19.5,144.3,6.5,Aphylion,0.74
48,6.5,15.7,105.7,4.2,Aphylion,0.37
49,7.5,13.4,140.8,7.1,Aphylion,0.63
54,7.5,18.3,210.9,9.1,Aphylion,0.77
55,7.2,16.5,234.2,10.4,Aphylion,0.88
101,6.5,16.0,486.3,24.9,Aphylion,1.79
102,7.0,18.0,509.9,26.3,Aphylion,1.99
104,6.6,19.5,520.0,27.9,Aphylion,1.76
105,8.7,19.3,480.4,34.0,Aphylion,2.1
106,8.6,20.1,675.5,37.0,Aphylion,1.98
108,8.1,16.3,543.5,24.5,Aphylion,1.7
110,7.8,16.8,513.1,22.9,Aphylion,1.42
113,7.5,18.6,518.4,24.9,Aphylion,2.09
114,7.0,20.1,561.3,26.7,Aphylion,2.24
164,13.4,21.9,1670.0,94.0,Aphylion,4.48
165,13.5,20.1,1106.1,62.7,Aphylion,2.85
168,13.1,19.5,1318.9,74.3,Aphylion,3.46
170,11.0,20.3,1073.6,60.1,Aphylion,4.02
171,12.4,17.0,1133.6,53.9,Aphylion,2.89
172,9.5,17.2,573.8,28.6,Aphylion,2.35
173,12.4,16.9,915.1,44.9,Aphylion,2.02
176,12.3,17.4,1263.5,78.1,Aphylion,4.1
177,12.1,22.1,1460.4,79.8,Aphylion,3.81
179,11.2,19.5,1646.4,88.1,Aphylion,4.68
223,15.0,26.0,2453.6,163.0,Aphylion,6.82
225,14.0,22.0,2502.9,157.0,Aphylion,7.16
226,16.0,24.0,3350.6,106.0,Aphylion,4.99
227,16.5,20.0,1979.5,129.0,Aphylion,6.16
262,17.5,30.6,2525.2,164.8,Aphylion,9.24
263,20.5,25.0,3734.2,261.9,Aphylion,12.31
264,20.1,25.3,2979.7,162.9,Aphylion,8.15
265,20.5,30.2,3261.9,223.2,Aphylion,10.32
266,22.0,34.0,3698.7,245.6,Aphylion,9.59
