id,Height,Diameter,LeafArea,FreshWeightShoot,Variety,DryWeightShoot,_original_id
1,5.1,16.1,87.6,3.2,Aphylion,0.16,0
2,5.1,16.1,87.6,3.2,Aphylion,0.16,0
3,5.1,16.1,87.6,3.2,Aphylion,0.16,0
4,5.1,16.1,87.6,3.2,Aphylion,0.16,0
5,5.1,16.1,87.6,3.2,Aphylion,0.16,0
6,5.1,16.1,87.6,3.2,Aphylion,0.16,0
7,9.6,18.2,102.4,3.8,Aphylion,0.16,1
8,9.6,18.2,102.4,3.8,Aphylion,0.16,1
9,9.6,18.2,102.4,3.8,Aphylion,0.16,1
10,9.6,18.2,102.4,3.8,Aphylion,0.16,1
11,9.6,18.2,102.4,3.8,Aphylion,0.16,1
12,9.6,18.2,102.4,3.8,Aphylion,0.16,1
13,6.2,17.6,84.5,3.1,Aphylion,0.14,2
14,6.2,17.6,84.5,3.1,Aphylion,0.14,2
15,6.2,17.6,84.5,3.1,Aphylion,0.14,2
16,6.2,17.6,84.5,3.1,Aphylion,0.14,2
17,6.2,17.6,84.5,3.1,Aphylion,0.14,2
18,6.2,17.6,84.5,3.1,Aphylion,0.14,2
19,5.4,15.5,82.7,3.0,Aphylion,0.13,3
20,5.4,15.5,82.7,3.0,Aphylion,0.13,3
21,5.4,15.5,82.7,3.0,Aphylion,0.13,3
22,5.4,15.5,82.7,3.0,Aphylion,0.13,3
23,5.4,15.5,82.7,3.0,Aphylion,0.13,3
24,5.4,15.5,82.7,3.0,Aphylion,0.13,3
25,5.3,19.5,144.3,6.5,Aphylion,0.74,4
26,5.3,19.5,144.3,6.5,Aphylion,0.74,4
27,5.3,19.5,144.3,6.5,Aphylion,0.74,4
28,5.3,19.5,144.3,6.5,Aphylion,0.74,4
29,5.3,19.5,144.3,6.5,Aphylion,0.74,4
30,5.3,19.5,144.3,6.5,Aphylion,0.74,4
31,6.5,15.7,105.7,4.2,Aphylion,0.37,5
32,6.5,15.7,105.7,4.2,Aphylion,0.37,5
33,6.5,15.7,105.7,4.2,Aphylion,0.37,5
34,6.5,15.7,105.7,4.2,Aphylion,0.37,5
35,6.5,15.7,105.7,4.2,Aphylion,0.37,5
36,6.5,15.7,105.7,4.2,Aphylion,0.37,5
37,7.5,13.4,140.8,7.1,Aphylion,0.63,6
38,7.5,13.4,140.8,7.1,Aphylion,0.63,6
39,7.5,13.4,140.8,7.1,Aphylion,0.63,6
40,7.5,13.4,140.8,7.1,Aphylion,0.63,6
41,7.5,13.4,140.8,7.1,Aphylion,0.63,6
42,7.5,13.4,140.8,7.1,Aphylion,0.63,6
43,7.5,18.3,210.9,9.1,Aphylion,0.77,7
44,7.5,18.3,210.9,9.1,Aphylion,0.77,7
45,7.5,18.3,210.9,9.1,Aphylion,0.77,7
46,7.5,18.3,210.9,9.1,Aphylion,0.77,7
47,7.5,18.3,210.9,9.1,Aphylion,0.77,7
48,7.5,18.3,210.9,9.1,Aphylion,0.77,7
49,7.2,16.5,234.2,10.4,Aphylion,0.88,8
50,7.2,16.5,234.2,10.4,Aphylion,0.88,8
51,7.2,16.5,234.2,10.4,Aphylion,0.88,8
52,7.2,16.5,234.2,10.4,Aphylion,0.88,8
53,7.2,16.5,234.2,10.4,Aphylion,0.88,8
54,7.2,16.5,234.2,10.4,Aphylion,0.88,8
61,7.0,18.0,509.9,26.3,Aphylion,1.99,10
62,7.0,18.0,509.9,26.3,Aphylion,1.99,10
63,7.0,18.0,509.9,26.3,Aphylion,1.99,10
64,7.0,18.0,509.9,26.3,Aphylion,1.99,10
65,7.0,18.0,509.9,26.3,Aphylion,1.99,10
66,7.0,18.0,509.9,26.3,Aphylion,1.99,10
67,6.6,19.5,520.0,27.9,Aphylion,1.76,11
68,6.6,19.5,520.0,27.9,Aphylion,1.76,11
69,6.6,19.5,520.0,27.9,Aphylion,1.76,11
70,6.6,19.5,520.0,27.9,Aphylion,1.76,11
71,6.6,19.5,520.0,27.9,Aphylion,1.76,11
72,6.6,19.5,520.0,27.9,Aphylion,1.76,11
