id,dry_weight
RGB_15,0.16
RGB_16,0.16
RGB_18,0.14
RGB_19,0.13
RGB_44,0.74
RGB_48,0.37
RGB_49,0.63
RGB_54,0.77
RGB_55,0.88
RGB_101,1.79
RGB_102,1.99
RGB_104,1.76
RGB_105,2.1
RGB_106,1.98
RGB_108,1.7
RGB_110,1.42
RGB_113,2.09
RGB_114,2.24
RGB_164,4.48
RGB_165,2.85
RGB_168,3.46
RGB_170,4.02
RGB_171,2.89
RGB_172,2.35
RGB_173,2.02
RGB_176,4.1
RGB_177,3.81
RGB_179,4.68
RGB_223,6.82
RGB_225,7.16
RGB_226,4.99
RGB_227,6.16
RGB_262,9.24
RGB_263,12.31
RGB_264,8.15
RGB_265,10.32
RGB_266,9.59
RGB_267,6.47
RGB_269,9.98
RGB_270,9.75
RGB_271,12.62
RGB_272,12.17
RGB_345,16.64
RGB_346,14.69
RGB_347,17.24
RGB_348,16.47
RGB_350,18.21
RGB_352,11.77
RGB_353,14.15
RGB_356,13.42
RGB_357,15.84
RGB_358,13.61
RGB_359,15.41
RGB_361,14.07
RGB_363,16.71
RGB_6,0.14
RGB_8,0.1
RGB_9,0.1
RGB_20,0.4
RGB_21,0.7
RGB_22,0.41
RGB_25,0.55
RGB_27,0.42
RGB_28,0.63
RGB_29,0.63
RGB_68,1.75
RGB_70,1.82
RGB_71,1.54
RGB_72,2.04
RGB_74,2.36
RGB_76,1.68
RGB_77,2.24
RGB_79,1.92
RGB_81,1.6
RGB_82,2.13
RGB_133,3.62
RGB_134,4.17
RGB_135,3.25
RGB_136,1.61
RGB_138,1.99
RGB_139,1.95
RGB_140,2.83
RGB_143,4.24
RGB_144,3.74
RGB_146,4.3
RGB_195,5.37
RGB_196,3.85
RGB_197,6.3
RGB_202,4.42
RGB_203,5.76
RGB_204,6.33
RGB_206,6.42
RGB_241,9.48
RGB_243,7.84
RGB_244,9.31
RGB_245,6.6
RGB_246,8.61
RGB_249,7.54
RGB_285,12.65
RGB_286,11.84
RGB_287,12.66
RGB_289,10.43
RGB_290,10.67
RGB_293,8.29
RGB_297,10.07
RGB_298,12.95
RGB_299,11.24
RGB_300,9.44
RGB_301,11.26
RGB_302,12.68
RGB_310,10.89
RGB_311,12.36
RGB_11,0.11
RGB_14,0.14
RGB_32,0.88
RGB_34,0.6
RGB_35,0.65
RGB_39,0.64
RGB_40,0.43
RGB_42,0.58
RGB_43,0.46
RGB_84,1.22
RGB_86,1.01
RGB_87,1.31
RGB_88,1.76
RGB_89,1.6
RGB_93,1.24
RGB_97,1.62
RGB_98,0.93
RGB_99,1.91
RGB_148,3.75
RGB_149,2.11
RGB_150,3.09
RGB_152,3.86
RGB_153,2.96
RGB_154,3.38
RGB_156,2.41
RGB_161,2.81
RGB_162,3.71
RGB_163,0.36
RGB_207,3.88
RGB_210,4.04
RGB_212,3.79
RGB_214,3.7
RGB_215,4.94
RGB_216,4.41
RGB_217,4.49
RGB_218,4.81
RGB_250,8.58
RGB_251,7.04
RGB_252,7.18
RGB_253,9.4
RGB_255,6.84
RGB_256,10.38
RGB_258,7.63
RGB_260,8.47
RGB_313,10.95
RGB_315,11.0
RGB_316,12.13
RGB_318,10.69
RGB_319,13.03
RGB_321,11.55
RGB_323,7.36
RGB_325,12.56
RGB_329,13.9
RGB_330,8.94
RGB_332,10.49
RGB_334,11.69
RGB_335,12.11
RGB_337,12.87
RGB_338,10.42
RGB_341,11.51
RGB_342,13.48
RGB_1,0.14
RGB_2,0.1
RGB_3,0.09
RGB_56,0.48
RGB_57,0.5
RGB_58,0.32
RGB_59,0.45
RGB_60,0.28
RGB_63,0.45
RGB_64,0.43
RGB_66,0.37
RGB_118,1.28
RGB_120,1.08
RGB_122,1.36
RGB_125,1.36
RGB_126,1.48
RGB_128,2.12
RGB_129,1.29
RGB_131,1.76
RGB_180,3.28
RGB_182,2.13
RGB_183,2.8
RGB_184,1.69
RGB_187,2.24
RGB_188,2.8
RGB_190,2.95
RGB_191,2.49
RGB_193,3.63
RGB_194,2.21
RGB_229,3.69
RGB_230,3.7
RGB_234,4.75
RGB_235,4.15
RGB_236,3.51
RGB_237,5.21
RGB_240,3.91
RGB_273,6.44
RGB_275,6.0
RGB_276,5.41
RGB_278,6.71
RGB_279,6.16
RGB_282,6.0
RGB_366,10.93
RGB_368,7.9
RGB_369,6.6
RGB_371,10.11
RGB_372,7.12
RGB_375,10.97
RGB_376,6.98
RGB_377,6.28
RGB_378,8.41
RGB_379,7.08
RGB_380,8.34
RGB_381,7.39
RGB_382,8.77
RGB_387,9.17
RGB_389,8.19
RGB_390,9.2
